Job Title,Job Description,Company,Location,Experience,Education,Salary,skills,Category
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in Agile and Scrum. This role requires 0-2 years of experience and Master's Degree. The position is based in Boston, MA.","Brown, Rodriguez and Mooney","Chicago, IL",0-2 years,PhD,"$60,000 - $90,000","User Stories, Agile, Market Research, Data Analysis, Product Metrics, A/B Testing",Product Management
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Marketing Automation and Marketing Automation. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in Chicago, IL.","Medina, Dixon and Moon","San Francisco, CA",8+ years,PhD,"$180,000+","SEO, Social Media, Google Analytics",Marketing
Machine Learning Engineer,"We are looking for a Machine Learning Engineer to join our team. The ideal candidate will have experience in Machine Learning and Spark. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Seattle, WA.",Gill Inc,Hybrid,2-5 years,PhD,"$90,000 - $130,000","SQL, R, Statistics, Python, PyTorch, Data Visualization",Data Science
UX Designer,We are looking for a UX Designer to join our team. The ideal candidate will have experience in Prototyping and Interaction Design. This role requires 8+ years of experience and Master's Degree. The position is based in Hybrid.,Collins Inc,"San Francisco, CA",0-2 years,Master's Degree,"$60,000 - $90,000","UI/UX Design, Figma, User Research, Design Systems",Design
Social Media Manager,We are looking for a Social Media Manager to join our team. The ideal candidate will have experience in A/B Testing and Data Analysis. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Hybrid.,Nelson and Sons,Remote,0-2 years,Bachelor's Degree,"$60,000 - $90,000","Social Media, Content Marketing, SEO, Campaign Management",Marketing
Data Engineer,"We are looking for a Data Engineer to join our team. The ideal candidate will have experience in Data Analysis and Spark. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in Chicago, IL.","Perkins, Sanders and Mayer","Seattle, WA",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Machine Learning, R, Spark",Data Science
Senior Product Manager,"We are looking for a Senior Product Manager to join our team. The ideal candidate will have experience in Agile and Stakeholder Management. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in New York, NY.",Manning-Ford,Hybrid,2-5 years,Master's Degree,"$90,000 - $130,000","Product Roadmap, Market Research, A/B Testing, Product Strategy, Agile",Product Management
SEO Specialist,We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Content Marketing and Campaign Management. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Hybrid.,"Gonzalez, Young and Harrington","New York, NY",8+ years,Master's Degree,"$180,000+","Email Marketing, Campaign Management, Marketing Automation, Data Analysis, SEO",Marketing
Social Media Manager,"We are looking for a Social Media Manager to join our team. The ideal candidate will have experience in Content Marketing and Marketing Automation. This role requires 5-8 years of experience and PhD. The position is based in Austin, TX.",Lynch-Shepherd,"San Francisco, CA",0-2 years,Master's Degree,"$60,000 - $90,000","Data Analysis, Digital Marketing, Google Analytics",Marketing
Senior Data Scientist,"We are looking for a Senior Data Scientist to join our team. The ideal candidate will have experience in Machine Learning and Python. This role requires 8+ years of experience and Bachelor's Degree. The position is based in San Francisco, CA.",Martin-Ford,Hybrid,2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Machine Learning, Statistics, SQL, Deep Learning",Data Science
AI Research Scientist,We are looking for a AI Research Scientist to join our team. The ideal candidate will have experience in Machine Learning and R. This role requires 8+ years of experience and Bachelor's Degree or equivalent experience. The position is based in Hybrid.,"Long, Pierce and Friedman","Chicago, IL",8+ years,Master's Degree,"$180,000+","TensorFlow, PyTorch, Data Analysis",Data Science
Technical Product Manager,We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Market Research and Agile. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Hybrid.,Santos-Thomas,"Chicago, IL",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Stakeholder Management, Scrum, Product Strategy, A/B Testing, User Stories",Product Management
Data Engineer,"We are looking for a Data Engineer to join our team. The ideal candidate will have experience in Data Visualization and PyTorch. This role requires 8+ years of experience and PhD. The position is based in Chicago, IL.","Lambert, Blackwell and Lawson","Boston, MA",2-5 years,Master's Degree,"$90,000 - $130,000","Deep Learning, TensorFlow, Statistics, R",Data Science
UI Designer,"We are looking for a UI Designer to join our team. The ideal candidate will have experience in Sketch and Sketch. This role requires 8+ years of experience and PhD. The position is based in San Francisco, CA.",Lee LLC,"Chicago, IL",5-8 years,Master's Degree,"$130,000 - $180,000","Adobe XD, Prototyping, Design Systems, Figma, Interaction Design",Design
Software Engineer,We are looking for a Software Engineer to join our team. The ideal candidate will have experience in Node.js and AWS. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Guerra Group,"Boston, MA",0-2 years,Bachelor's Degree,"$60,000 - $90,000","NoSQL, Microservices, REST APIs",Software Development
DevOps Engineer,"We are looking for a DevOps Engineer to join our team. The ideal candidate will have experience in SQL and Docker. This role requires 8+ years of experience and Bachelor's Degree or equivalent experience. The position is based in Seattle, WA.",Abbott and Sons,"Boston, MA",2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","Microservices, Node.js, NoSQL, Git, JavaScript, Python",Software Development
Product Designer,"We are looking for a Product Designer to join our team. The ideal candidate will have experience in Figma and User Research. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Austin, TX.",Rodriguez-Leblanc,"San Francisco, CA",5-8 years,Bachelor's Degree,"$130,000 - $180,000","Wireframing, Figma, Sketch, Interaction Design, Adobe XD, UI/UX Design",Design
Content Marketing Specialist,We are looking for a Content Marketing Specialist to join our team. The ideal candidate will have experience in Email Marketing and Google Analytics. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Hybrid.,"Cain, Hensley and Johnson","San Francisco, CA",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Social Media, Email Marketing, Content Marketing, Digital Marketing",Marketing
Social Media Manager,"We are looking for a Social Media Manager to join our team. The ideal candidate will have experience in Digital Marketing and SEO. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in San Francisco, CA.",Smith Group,"Austin, TX",8+ years,Bachelor's Degree or equivalent experience,"$180,000+","Data Analysis, Campaign Management, A/B Testing, Marketing Automation",Marketing
Software Engineer,"We are looking for a Software Engineer to join our team. The ideal candidate will have experience in NoSQL and AWS. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in Chicago, IL.",Green-Wright,Remote,5-8 years,Master's Degree,"$130,000 - $180,000","SQL, Python, Docker",Software Development
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Marketing Automation and Data Analysis. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Chicago, IL.",Carrillo-Martin,"Chicago, IL",8+ years,Master's Degree,"$180,000+","Marketing Automation, A/B Testing, Social Media",Marketing
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in Visual Design and Prototyping. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Boston, MA.",Christensen Group,"New York, NY",2-5 years,Master's Degree,"$90,000 - $130,000","Design Systems, User Research, Adobe XD, Figma, Interaction Design",Design
Digital Marketing Manager,We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in Marketing Automation and Data Analysis. This role requires 8+ years of experience and Bachelor's Degree or equivalent experience. The position is based in Hybrid.,Becker-Armstrong,"Chicago, IL",0-2 years,Master's Degree or equivalent experience,"$60,000 - $90,000","Digital Marketing, A/B Testing, SEO",Marketing
Digital Marketing Manager,We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in Data Analysis and Social Media. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Remote.,Freeman Group,"San Francisco, CA",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Email Marketing, SEO, A/B Testing, Data Analysis, Digital Marketing",Marketing
Mobile Developer,We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in REST APIs and Kubernetes. This role requires 8+ years of experience and Master's Degree. The position is based in Hybrid.,Schmitt Group,"Boston, MA",0-2 years,Bachelor's Degree,"$60,000 - $90,000","Python, AWS, NoSQL",Software Development
DevOps Engineer,"We are looking for a DevOps Engineer to join our team. The ideal candidate will have experience in Java and Java. This role requires 8+ years of experience and Master's Degree. The position is based in Seattle, WA.",Wilkerson-Smith,"San Francisco, CA",2-5 years,Master's Degree,"$90,000 - $130,000","Docker, SQL, NoSQL, AWS, REST APIs",Software Development
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Google Analytics and Social Media. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in Boston, MA.",Mclaughlin Inc,"Chicago, IL",2-5 years,Master's Degree,"$90,000 - $130,000","Google Analytics, Content Marketing, SEO, A/B Testing, Digital Marketing, Email Marketing",Marketing
Interaction Designer,We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Interaction Design and Prototyping. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in Hybrid.,"Hanna, Williams and Garcia","New York, NY",0-2 years,Master's Degree,"$60,000 - $90,000","Adobe XD, UI/UX Design, User Research, Interaction Design",Design
Product Manager,"We are looking for a Product Manager to join our team. The ideal candidate will have experience in Scrum and Product Roadmap. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Boston, MA.",Boyer-Washington,"Austin, TX",0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Product Roadmap, Stakeholder Management, Market Research, Agile, Data Analysis, Product Strategy",Product Management
Product Manager,"We are looking for a Product Manager to join our team. The ideal candidate will have experience in Product Metrics and Product Roadmap. This role requires 0-2 years of experience and PhD. The position is based in Seattle, WA.",Young Ltd,"Seattle, WA",5-8 years,Master's Degree,"$130,000 - $180,000","Stakeholder Management, A/B Testing, Product Roadmap, Product Strategy, Product Metrics, Scrum",Product Management
Digital Marketing Manager,"We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in A/B Testing and Campaign Management. This role requires 8+ years of experience and Bachelor's Degree or equivalent experience. The position is based in Austin, TX.",Parks Inc,"Seattle, WA",5-8 years,PhD,"$130,000 - $180,000","Google Analytics, Campaign Management, Social Media",Marketing
DevOps Engineer,"We are looking for a DevOps Engineer to join our team. The ideal candidate will have experience in Git and CI/CD. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in Chicago, IL.",Lopez-Miller,Remote,5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Kubernetes, Microservices, CI/CD, Docker",Software Development
Full Stack Developer,"We are looking for a Full Stack Developer to join our team. The ideal candidate will have experience in Microservices and REST APIs. This role requires 0-2 years of experience and Master's Degree. The position is based in Austin, TX.",Lowery Group,Remote,5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","Microservices, JavaScript, SQL, REST APIs, Java, Git",Software Development
Backend Developer,"We are looking for a Backend Developer to join our team. The ideal candidate will have experience in CI/CD and Python. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Austin, TX.","Hudson, Lester and Cline","New York, NY",0-2 years,Bachelor's Degree,"$60,000 - $90,000","Node.js, AWS, REST APIs, SQL, Java, React",Software Development
Senior Data Scientist,"We are looking for a Senior Data Scientist to join our team. The ideal candidate will have experience in SQL and Data Visualization. This role requires 2-5 years of experience and Master's Degree. The position is based in Austin, TX.",Chase LLC,"Austin, TX",8+ years,Master's Degree,"$180,000+","Deep Learning, Statistics, Big Data",Data Science
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Content Marketing and SEO. This role requires 0-2 years of experience and PhD. The position is based in New York, NY.",Fernandez-Figueroa,Hybrid,8+ years,Master's Degree or equivalent experience,"$180,000+","Digital Marketing, SEO, Google Analytics",Marketing
Interaction Designer,"We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Wireframing and Sketch. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in Chicago, IL.",Johnson PLC,"New York, NY",0-2 years,Master's Degree or equivalent experience,"$60,000 - $90,000","Design Systems, User Research, Sketch, Adobe XD",Design
Software Engineer,"We are looking for a Software Engineer to join our team. The ideal candidate will have experience in NoSQL and Kubernetes. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in Chicago, IL.","Austin, Lucas and Frazier","Chicago, IL",0-2 years,Bachelor's Degree,"$60,000 - $90,000","Java, AWS, NoSQL, React, Node.js",Software Development
Interaction Designer,"We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Sketch and Sketch. This role requires 0-2 years of experience and Master's Degree. The position is based in New York, NY.",Turner and Sons,"Chicago, IL",8+ years,PhD,"$180,000+","User Research, Interaction Design, Adobe XD, Visual Design",Design
Interaction Designer,We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Prototyping and Design Systems. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Remote.,"Boone, Yu and Yates","New York, NY",0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Design Systems, Adobe XD, Visual Design",Design
Mobile Developer,"We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in Docker and Java. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in Austin, TX.","Vaughan, Humphrey and Taylor","Austin, TX",5-8 years,PhD,"$130,000 - $180,000","JavaScript, REST APIs, React, Node.js",Software Development
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in Data Analysis and Product Metrics. This role requires 2-5 years of experience and PhD. The position is based in Seattle, WA.",Schaefer Group,"Seattle, WA",0-2 years,PhD,"$60,000 - $90,000","Data Analysis, Product Strategy, Product Metrics, Market Research, User Stories, A/B Testing",Product Management
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in Product Roadmap and Stakeholder Management. This role requires 5-8 years of experience and PhD. The position is based in San Francisco, CA.",Ortega Inc,"Seattle, WA",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Product Roadmap, Agile, User Stories, Product Metrics",Product Management
Senior Product Manager,"We are looking for a Senior Product Manager to join our team. The ideal candidate will have experience in Data Analysis and Data Analysis. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Chicago, IL.","Johnson, Ross and Cox","Chicago, IL",8+ years,Bachelor's Degree or equivalent experience,"$180,000+","A/B Testing, Agile, Product Roadmap, Data Analysis",Product Management
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Campaign Management and Campaign Management. This role requires 8+ years of experience and Bachelor's Degree. The position is based in Austin, TX.","Wood, Kim and Bonilla","Boston, MA",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Content Marketing, Email Marketing, Digital Marketing, Social Media",Marketing
Product Marketing Manager,"We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Market Research and Product Roadmap. This role requires 5-8 years of experience and Master's Degree. The position is based in Boston, MA.","Mcgrath, Brown and Garcia","Seattle, WA",0-2 years,PhD,"$60,000 - $90,000","A/B Testing, Market Research, Product Metrics",Product Management
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in Adobe XD and Wireframing. This role requires 5-8 years of experience and Master's Degree. The position is based in New York, NY.","Smith, Ruiz and Barrett","San Francisco, CA",8+ years,PhD,"$180,000+","Adobe XD, User Research, UI/UX Design, Visual Design, Interaction Design, Wireframing",Design
Senior Data Scientist,We are looking for a Senior Data Scientist to join our team. The ideal candidate will have experience in Data Visualization and Python. This role requires 0-2 years of experience and PhD. The position is based in Remote.,Mendoza and Sons,"San Francisco, CA",5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","PyTorch, Machine Learning, SQL, Big Data, Hadoop",Data Science
Marketing Analyst,We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Email Marketing and Digital Marketing. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Ross PLC,"San Francisco, CA",0-2 years,Master's Degree or equivalent experience,"$60,000 - $90,000","Email Marketing, Campaign Management, Data Analysis",Marketing
Senior Software Engineer,"We are looking for a Senior Software Engineer to join our team. The ideal candidate will have experience in Git and Kubernetes. This role requires 2-5 years of experience and Master's Degree. The position is based in San Francisco, CA.","Sanchez, Anderson and Mathews","Boston, MA",5-8 years,Bachelor's Degree,"$130,000 - $180,000","REST APIs, Java, SQL, Node.js",Software Development
UI Designer,"We are looking for a UI Designer to join our team. The ideal candidate will have experience in Interaction Design and Visual Design. This role requires 2-5 years of experience and Master's Degree. The position is based in Seattle, WA.",Adams-Rivera,"Seattle, WA",2-5 years,PhD,"$90,000 - $130,000","Design Systems, Sketch, Visual Design, Adobe XD",Design
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Data Analysis and Digital Marketing. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in Chicago, IL.",Keller Inc,"Austin, TX",5-8 years,Master's Degree,"$130,000 - $180,000","Google Analytics, Content Marketing, A/B Testing",Marketing
Data Analyst,"We are looking for a Data Analyst to join our team. The ideal candidate will have experience in SQL and R. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Seattle, WA.","Mccullough, Frost and Jenkins",Remote,0-2 years,Bachelor's Degree,"$60,000 - $90,000","Python, PyTorch, Hadoop, Data Analysis, Data Visualization, TensorFlow",Data Science
Data Engineer,We are looking for a Data Engineer to join our team. The ideal candidate will have experience in SQL and Data Analysis. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Spencer LLC,"Chicago, IL",5-8 years,Bachelor's Degree,"$130,000 - $180,000","Spark, SQL, Statistics, Python, PyTorch",Data Science
Product Marketing Manager,"We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Market Research and Stakeholder Management. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Boston, MA.","Wilson, Church and Quinn","Seattle, WA",5-8 years,Master's Degree,"$130,000 - $180,000","Data Analysis, Product Metrics, User Stories, Stakeholder Management",Product Management
UI Designer,We are looking for a UI Designer to join our team. The ideal candidate will have experience in User Research and Figma. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Newman LLC,"Boston, MA",8+ years,PhD,"$180,000+","Wireframing, UI/UX Design, Visual Design",Design
Full Stack Developer,"We are looking for a Full Stack Developer to join our team. The ideal candidate will have experience in Python and AWS. This role requires 0-2 years of experience and Master's Degree. The position is based in New York, NY.",West-Cobb,"Austin, TX",0-2 years,PhD,"$60,000 - $90,000","AWS, Git, Microservices, Docker, NoSQL, CI/CD",Software Development
Product Marketing Manager,"We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Scrum and Agile. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in New York, NY.","Kelley, Parker and Weber",Hybrid,8+ years,Master's Degree or equivalent experience,"$180,000+","Stakeholder Management, Market Research, Product Strategy, Product Roadmap",Product Management
Social Media Manager,"We are looking for a Social Media Manager to join our team. The ideal candidate will have experience in Campaign Management and Data Analysis. This role requires 2-5 years of experience and PhD. The position is based in New York, NY.",Heath-Gray,"Boston, MA",2-5 years,PhD,"$90,000 - $130,000","Campaign Management, Google Analytics, Marketing Automation, Digital Marketing, Content Marketing",Marketing
Product Marketing Manager,"We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Data Analysis and Data Analysis. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Chicago, IL.",Lewis Group,Remote,2-5 years,PhD,"$90,000 - $130,000","Product Roadmap, User Stories, Stakeholder Management, Data Analysis, Product Strategy, Scrum",Product Management
Mobile Developer,"We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in Docker and SQL. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Boston, MA.",Harrison Inc,"New York, NY",0-2 years,PhD,"$60,000 - $90,000","Kubernetes, Python, Java, Node.js, Microservices",Software Development
SEO Specialist,We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Digital Marketing and SEO. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Remote.,Ramos and Sons,"Boston, MA",8+ years,PhD,"$180,000+","Digital Marketing, Marketing Automation, Google Analytics, SEO, Content Marketing",Marketing
Full Stack Developer,We are looking for a Full Stack Developer to join our team. The ideal candidate will have experience in NoSQL and Docker. This role requires 8+ years of experience and Master's Degree. The position is based in Remote.,"Jackson, White and Perez",Hybrid,8+ years,Master's Degree or equivalent experience,"$180,000+","Java, CI/CD, Microservices, AWS, JavaScript",Software Development
Frontend Developer,"We are looking for a Frontend Developer to join our team. The ideal candidate will have experience in NoSQL and REST APIs. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Austin, TX.",Kelly LLC,Hybrid,5-8 years,Bachelor's Degree,"$130,000 - $180,000","Node.js, CI/CD, Docker, React, SQL",Software Development
Technical Product Manager,"We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Data Analysis and Stakeholder Management. This role requires 2-5 years of experience and PhD. The position is based in New York, NY.","Summers, Moore and Johnson","New York, NY",8+ years,Master's Degree,"$180,000+","Product Strategy, User Stories, Market Research, Scrum, Product Roadmap",Product Management
Product Designer,We are looking for a Product Designer to join our team. The ideal candidate will have experience in Interaction Design and Visual Design. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in Remote.,"Stewart, Smith and Davis","Seattle, WA",8+ years,Bachelor's Degree,"$180,000+","User Research, Figma, Sketch, Design Systems, Interaction Design",Design
Marketing Analyst,We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Social Media and Content Marketing. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Remote.,Collins-Garcia,"Boston, MA",5-8 years,Master's Degree,"$130,000 - $180,000","A/B Testing, Content Marketing, Social Media, Digital Marketing, Data Analysis, Google Analytics",Marketing
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Social Media and Marketing Automation. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in San Francisco, CA.","Smith, Villegas and Miller",Hybrid,0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Digital Marketing, Marketing Automation, Content Marketing, Data Analysis, Google Analytics, A/B Testing",Marketing
Content Marketing Specialist,"We are looking for a Content Marketing Specialist to join our team. The ideal candidate will have experience in Data Analysis and Data Analysis. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in New York, NY.",Rice-Cohen,"New York, NY",8+ years,Master's Degree,"$180,000+","A/B Testing, Campaign Management, SEO",Marketing
Senior Software Engineer,"We are looking for a Senior Software Engineer to join our team. The ideal candidate will have experience in Java and Docker. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Boston, MA.",Brown-Silva,"Seattle, WA",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","SQL, CI/CD, REST APIs, AWS, Git",Software Development
Backend Developer,"We are looking for a Backend Developer to join our team. The ideal candidate will have experience in Kubernetes and NoSQL. This role requires 0-2 years of experience and PhD. The position is based in Chicago, IL.",Mcclure Ltd,Remote,5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","React, SQL, NoSQL",Software Development
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in User Research and Visual Design. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Seattle, WA.","Barnes, Richards and Moore","Boston, MA",5-8 years,PhD,"$130,000 - $180,000","User Research, Visual Design, Figma, Sketch, Adobe XD",Design
Data Engineer,We are looking for a Data Engineer to join our team. The ideal candidate will have experience in Spark and TensorFlow. This role requires 0-2 years of experience and Master's Degree. The position is based in Remote.,Anderson Ltd,"Austin, TX",5-8 years,Bachelor's Degree,"$130,000 - $180,000","Data Analysis, Big Data, Machine Learning, Deep Learning, Hadoop, Statistics",Data Science
Senior Product Manager,We are looking for a Senior Product Manager to join our team. The ideal candidate will have experience in Agile and Product Roadmap. This role requires 5-8 years of experience and PhD. The position is based in Remote.,"Mendez, Patton and Moore","New York, NY",8+ years,Master's Degree,"$180,000+","Product Metrics, Agile, Data Analysis, Market Research",Product Management
Backend Developer,We are looking for a Backend Developer to join our team. The ideal candidate will have experience in NoSQL and AWS. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Phillips-Griffin,Hybrid,2-5 years,Master's Degree,"$90,000 - $130,000","CI/CD, Git, Microservices, Kubernetes, NoSQL, Docker",Software Development
Senior Software Engineer,"We are looking for a Senior Software Engineer to join our team. The ideal candidate will have experience in Microservices and Kubernetes. This role requires 8+ years of experience and Master's Degree. The position is based in Austin, TX.","Weber, Morales and Smith","Austin, TX",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","CI/CD, Git, Python, Kubernetes, JavaScript",Software Development
Digital Marketing Manager,"We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in Digital Marketing and Google Analytics. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Austin, TX.",Lane-Richardson,Hybrid,8+ years,Bachelor's Degree,"$180,000+","Marketing Automation, Campaign Management, A/B Testing, Content Marketing",Marketing
Product Manager,"We are looking for a Product Manager to join our team. The ideal candidate will have experience in Stakeholder Management and Data Analysis. This role requires 0-2 years of experience and PhD. The position is based in New York, NY.","Graham, Jackson and Fisher","Seattle, WA",2-5 years,Master's Degree,"$90,000 - $130,000","Product Strategy, User Stories, Stakeholder Management, Data Analysis",Product Management
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in A/B Testing and A/B Testing. This role requires 2-5 years of experience and Master's Degree. The position is based in Austin, TX.","Edwards, Klein and Patterson","Austin, TX",0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Digital Marketing, SEO, A/B Testing, Data Analysis",Marketing
Digital Marketing Manager,We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in Data Analysis and SEO. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Remote.,"Yang, Wells and Gaines","Boston, MA",2-5 years,Bachelor's Degree,"$90,000 - $130,000","Marketing Automation, Content Marketing, SEO, Digital Marketing",Marketing
Product Manager,We are looking for a Product Manager to join our team. The ideal candidate will have experience in User Stories and Product Roadmap. This role requires 0-2 years of experience and PhD. The position is based in Remote.,Salas Group,"Austin, TX",2-5 years,PhD,"$90,000 - $130,000","Product Roadmap, Agile, Data Analysis",Product Management
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in Market Research and Stakeholder Management. This role requires 2-5 years of experience and PhD. The position is based in Chicago, IL.",Mcguire-Taylor,Hybrid,8+ years,Bachelor's Degree,"$180,000+","Market Research, Scrum, Data Analysis, Agile",Product Management
Data Engineer,We are looking for a Data Engineer to join our team. The ideal candidate will have experience in SQL and TensorFlow. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Bennett-Fowler,"Seattle, WA",5-8 years,Master's Degree,"$130,000 - $180,000","Big Data, Statistics, R, Spark, Machine Learning, Data Visualization",Data Science
Content Marketing Specialist,"We are looking for a Content Marketing Specialist to join our team. The ideal candidate will have experience in Google Analytics and Marketing Automation. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Seattle, WA.",Buck LLC,"Seattle, WA",8+ years,Master's Degree or equivalent experience,"$180,000+","Email Marketing, Social Media, Campaign Management, Content Marketing, Data Analysis, SEO",Marketing
Product Manager,We are looking for a Product Manager to join our team. The ideal candidate will have experience in Data Analysis and Product Metrics. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Remote.,Warner-Bradley,Remote,8+ years,Master's Degree or equivalent experience,"$180,000+","Agile, Data Analysis, Product Strategy",Product Management
